,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,0,341527,0,341527,0,341527,0,0
Kerch,0,151025,0,151025,0,151025,0,0
Yevpatoria,0,107650,0,107650,0,107650,0,0
Yalta,0,79272,1,79271,0,79271,0,0
Feodosia,0,68029,0,68029,0,68029,0,0
Dzhankoy,0,38438,0,38438,0,38438,0,0
Alushta,0,29963,0,29963,0,29963,0,0
Bakhchysarai,0,26572,0,26572,0,26572,0,0
Krasnoperekopsk,0,25187,0,25187,0,25187,0,0
Saky,0,24727,0,24727,0,24727,0,0
Armyansk,0,21552,0,21552,0,21552,0,0
Sudak,0,16766,0,16766,0,16766,0,0
Belogorsk,0,16405,0,16405,0,16405,0,0
Shcholkine,0,10260,0,10260,0,10260,0,0
Staryi Krym,0,9432,0,9432,0,9432,0,0
Alupka,0,8067,0,8067,0,8067,0,0

,Week 1
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,17059,341843,0,341843,0,341843,17,0
Kerch,7544,150830,0,150830,0,150830,7,0
Yevpatoria,5377,107711,1,107710,0,107710,5,0
Yalta,3959,79358,3,79355,0,79355,3,0
Feodosia,3398,67850,0,67850,0,67850,3,0
Dzhankoy,1920,38369,0,38369,0,38369,1,0
Alushta,1497,29976,0,29976,0,29976,1,0
Bakhchysarai,1327,26557,0,26557,0,26557,1,0
Krasnoperekopsk,1258,25104,0,25104,0,25104,1,0
Saky,1235,24770,0,24770,0,24770,1,0
Armyansk,1076,21570,0,21570,0,21570,1,0
Sudak,838,16747,0,16747,0,16747,0,0
Belogorsk,820,16381,0,16381,0,16381,0,0
Shcholkine,513,10236,0,10236,0,10236,0,0
Staryi Krym,471,9400,0,9400,0,9400,0,0
Alupka,403,8043,0,8043,0,8043,0,0

,Week 2
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,34117,341858,0,341858,0,341858,34,0
Kerch,15070,151152,0,151152,0,151152,15,0
Yevpatoria,10751,107462,1,107461,0,107461,10,1
Yalta,7917,79306,4,79302,0,79302,7,0
Feodosia,6784,67829,0,67829,0,67829,6,0
Dzhankoy,3836,38293,0,38293,0,38293,3,0
Alushta,2993,30030,0,30030,0,30030,2,0
Bakhchysarai,2653,26559,0,26559,0,26559,2,0
Krasnoperekopsk,2511,25126,0,25126,0,25126,2,0
Saky,2471,24771,0,24771,0,24771,2,0
Armyansk,2153,21515,0,21515,0,21515,2,0
Sudak,1674,16741,0,16741,0,16741,1,0
Belogorsk,1638,16339,0,16339,0,16339,1,0
Shcholkine,1023,10260,0,10260,0,10260,1,0
Staryi Krym,941,9364,0,9364,0,9364,0,0
Alupka,805,8013,0,8013,0,8013,0,0

,Week 3
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,51159,341598,0,341598,0,341598,51,0
Kerch,22606,151391,0,151391,0,151391,22,0
Yevpatoria,16108,107573,2,107570,1,107571,16,0
Yalta,11867,79206,6,79199,1,79200,11,2
Feodosia,10166,67765,0,67765,0,67765,10,0
Dzhankoy,5746,38214,0,38214,0,38214,5,0
Alushta,4491,30062,0,30062,0,30062,4,0
Bakhchysarai,3978,26586,0,26586,0,26586,3,0
Krasnoperekopsk,3764,25187,0,25187,0,25187,3,0
Saky,3707,24791,0,24791,0,24791,3,0
Armyansk,3225,21413,0,21413,0,21413,3,0
Sudak,2509,16763,0,16763,0,16763,2,0
Belogorsk,2453,16350,0,16350,0,16350,2,0
Shcholkine,1535,10227,0,10227,0,10227,1,0
Staryi Krym,1408,9353,0,9353,0,9353,1,0
Alupka,1205,8013,0,8013,0,8013,1,0

,Week 4
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
